CODE,PRJ_LETTER_GRADE,SB_UID,SB_STATE,sbName,execount,observed,C34_1,C34_2,C34_3,C34_4,C34_5,C34_6,C34_7
2013.1.00001.S,B,uid://A001/X13e/X8,Ready,SGP-5409_a_07_TE,1,0.0,0,0,0,0,0,1,1
2013.1.00395.S,B,uid://A001/X12e/X1b7,FullyObserved,2MASS_J1_a_07_TE,2,2.0,0,0,0,1,1,1,0
2013.1.00395.S,B,uid://A001/X122/X548,FullyObserved,2MASS_J1_b_07_TE,2,2.0,0,0,0,1,1,1,0
2013.1.00395.S,B,uid://A001/X122/X547,FullyObserved,2MASS_J1_c_07_TE,2,2.0,0,0,0,1,1,1,0
2013.1.00430.S,A,uid://A001/X135/X12,Ready,RCSGA032_a_09_TE,3,0.0,0,0,0,1,1,1,0
2013.1.01223.S,C,uid://A001/X145/X6e,Ready,3C446_a_03_TE,1,0.0,0,0,0,0,0,1,1
2013.1.01223.S,C,uid://A001/X145/X6f,FullyObserved,3C368_a_03_TE,2,2.0,1,1,1,1,1,1,0
2013.1.01223.S,C,uid://A001/X145/X70,Ready,PG1241_a_03_TE,1,0.0,0,0,0,0,0,1,1
2013.1.01223.S,C,uid://A001/X145/X71,Ready,SMM_J030_a_03_TE,2,0.0,0,0,0,0,0,1,1
2013.1.00343.S,C,uid://A001/X148/X33,Ready,gam_Vel_a_08_TE,1,0.0,1,1,1,1,1,1,0
2013.1.00343.S,C,uid://A001/X148/X34,Ready,gam_Vel_a_06_TE,1,0.0,0,1,1,1,1,1,0
2013.1.00343.S,C,uid://A001/X148/X35,Ready,gam_Vel_b_08_TE,1,0.0,1,1,1,1,1,1,0
2013.1.00343.S,C,uid://A001/X148/X36,Ready,gam_Vel_b_06_TE,1,0.0,0,1,1,1,1,1,0
2013.1.01035.S,B,uid://A001/X122/X308,Ready,MSXDC_G0_a_07_TE,2,0.0,1,0,0,0,0,0,0
2013.1.00989.S,B,uid://A001/X120/X37,Ready,1ES_0229_a_04_TE,1,0.0,0,0,1,1,1,1,0
2013.1.00989.S,B,uid://A001/X120/X38,Ready,1ES_0229_a_07_TE,1,0.0,0,1,1,1,1,1,0
2013.1.00989.S,B,uid://A001/X120/X39,Ready,RGB_J015_a_04_TE,1,0.0,0,0,1,1,1,1,0
2013.1.00989.S,B,uid://A001/X120/X3a,FullyObserved,RGB_J015_a_07_TE,1,1.0,0,1,1,1,1,1,0
2013.1.00989.S,B,uid://A001/X120/X3b,Ready,1ES_0414_a_04_TE,1,0.0,0,0,1,1,1,1,0
2013.1.00989.S,B,uid://A001/X120/X3c,FullyObserved,1ES_0414_a_07_TE,1,1.0,0,1,1,1,1,1,0
2013.1.00989.S,B,uid://A001/X120/X3d,Ready,1ES_1101_a_04_TE,1,0.0,0,0,1,1,1,1,0
2013.1.00989.S,B,uid://A001/X120/X3e,FullyObserved,1ES_1101_a_07_TE,1,1.0,1,1,1,1,1,1,0
2013.1.00989.S,B,uid://A001/X120/X3f,Ready,1ES_1218_a_04_TE,1,0.0,0,0,0,1,1,1,1
2013.1.00989.S,B,uid://A001/X120/X40,FullyObserved,1ES_1218_a_07_TE,1,1.0,0,1,1,1,1,1,1
2013.1.01239.S,B,uid://A001/X145/X2df,Ready,CFHT-NBJ_a_07_TE,3,0.0,0,0,1,1,0,0,0
2012.1.00352.S,B,uid://A002/X6dddc4/X63,FullyObserved,Orion_Ba_a_07_12,3,3.0,0,1,0,0,0,0,0
2013.1.00815.S,B,uid://A001/X121/X241,FullyObserved,CLM1_a_06_TE,2,2.0,0,0,1,1,1,1,0
2013.1.00815.S,B,uid://A001/X121/X242,FullyObserved,WMH5_a_06_TE,2,2.0,0,0,1,1,1,1,0
2013.1.00815.S,B,uid://A001/X121/X243,Ready,WMH13_a_06_TE,2,0.0,0,0,1,1,1,1,0
2013.1.00152.S,C,uid://A001/X13e/X1a8,Ready,W1302-21_a_09_TE,2,0.0,1,1,1,1,1,1,0
2013.1.00152.S,C,uid://A001/X141/X4,Ready,W1302-21_b_09_TE,2,0.0,1,1,1,1,1,1,0
2013.1.00152.S,C,uid://A001/X13e/X1ab,Ready,WISE_220_a_09_TE,1,0.0,1,1,1,1,1,1,0
2013.1.00152.S,C,uid://A001/X141/X7,Ready,WISE_220_b_09_TE,1,0.0,1,1,1,1,1,1,0
2013.1.00152.S,C,uid://A001/X13e/X1aa,Ready,WISE_230_a_09_TE,1,0.0,1,1,1,1,1,1,0
2013.1.00152.S,C,uid://A001/X141/X6,Ready,WISE_230_b_09_TE,1,0.0,1,1,1,1,1,1,0
2013.1.00152.S,C,uid://A001/X13e/X1a9,Ready,WISE_221_a_09_TE,1,0.0,1,1,1,1,1,1,0
2013.1.00152.S,C,uid://A001/X141/X5,Ready,WISE_221_b_09_TE,1,0.0,1,1,1,1,1,1,0
2012.1.00683.S,B,uid://A002/X74fe5d/X2d,FullyObserved,MagBridg_a_03_12,2,2.0,1,0,0,0,0,0,0
2012.1.00683.S,B,uid://A002/X74fe5d/X31,FullyObserved,MagBridg_a_06_12,1,1.0,0,1,0,0,0,0,0
2013.1.00727.S,B,uid://A001/X144/X117,Ready,NGC_1068_a_08_TE,5,0.0,0,1,0,0,0,0,0
2013.1.00206.S,C,uid://A001/X143/X6,Ready,2MASS_J1_a_07_TE,2,0.0,0,0,0,0,0,1,1
2013.1.00206.S,C,uid://A001/X145/X340,Ready,UX_Tau_A_a_07_TE,3,0.0,0,0,0,0,0,0,1
2013.1.00206.S,C,uid://A001/X143/X8,Ready,PDS_70_a_07_TE,2,0.0,0,0,0,0,0,0,1
2013.1.00831.S,B,uid://A001/X13e/X154,Ready,S255_IR_a_07_TE,2,0.0,0,0,0,0,0,0,1
2013.1.00771.S,C,uid://A001/X13e/X1dd,Phase2Submitted,hh_48_a_07_TE,2,0.0,0,0,0,0,0,0,1
2013.1.00771.S,C,uid://A001/X13e/X1de,Phase2Submitted,hh_48_a_07_TC,1,0.0,0,0,1,0,0,0,0
2013.1.00771.S,C,uid://A001/X13e/X1db,Phase2Submitted,HH_48_a_06_TE,1,0.0,0,0,0,0,0,0,1
2013.1.00771.S,C,uid://A001/X13e/X1dc,Phase2Submitted,HH_48_a_06_TC,1,0.0,0,0,1,0,0,0,0
2013.1.00087.S,B,uid://A001/X144/X236,FullyObserved,NGC_3628_a_06_TE,2,2.0,0,1,1,0,0,0,0
2013.1.00087.S,B,uid://A001/X144/X237,Ready,NGC_3628_a_07_TE,1,0.0,1,1,0,0,0,0,0
2013.1.00214.S,C,uid://A001/X145/X438,FullyObserved,N55_a_03_TE,1,1.0,0,1,0,0,0,0,0
2013.1.00214.S,C,uid://A001/X146/Xcb,FullyObserved,N55_b_03_TE,2,2.0,0,1,0,0,0,0,0
2012.1.00242.S,B,uid://A002/X6b0cc1/X134,Ready,4C23.56_B3,5,0.0,0,0,0,0,0,0,1
2012.1.00242.S,B,uid://A002/X6b0cc1/X135,FullyObserved,4C23.56_b6,1,1.0,0,0,1,1,1,1,0
2013.1.00670.S,B,uid://A001/X132/X28,Ready,hd142527_a_03_TE,7,0.0,0,0,0,0,0,1,1
2013.1.00553.S,B,uid://A001/X145/X3e0,FullyObserved,BN-KL_a_06_TE,1,1.0,1,0,0,0,0,0,0
2013.1.00553.S,B,uid://A001/X145/X3e1,FullyObserved,BN-KL_b_06_TE,1,1.0,1,0,0,0,0,0,0
2013.1.00553.S,B,uid://A001/X145/X3e2,FullyObserved,BN-KL_c_06_TE,1,1.0,1,0,0,0,0,0,0
